净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配,high,low,previous_close,tr,atr,up_move,down_move,+dm,-dm,+di,-di,dx,adx,moving_average,deviation,recent_high,recent_low,historical_high,historical_low
2015-08-24,0.978,0.978,-0.81%,开放申购,开放赎回,,0.986,0.978,0.986,0.008000000000000007,0.0037857142857142733,-0.008000000000000007,0.008000000000000007,0.0,0.008000000000000007,26.143759537644012,75.32935543367394,48.47155417465262,21.250688513704144,0.9987999999999999,-0.020824989987985515,1.007,0.978,1.007,0.978
2015-08-25,0.97,0.97,-0.82%,开放申购,开放赎回,,0.978,0.97,0.978,0.008000000000000007,0.004285714285714274,-0.008000000000000007,0.008000000000000007,0.0,0.008000000000000007,21.108936605435314,76.86479130048643,56.90898558906535,26.1169792366321,0.99735,-0.027422670075700595,1.007,0.97,1.007,0.97
2015-08-26,0.961,0.961,-0.93%,开放申购,开放赎回,,0.97,0.961,0.97,0.009000000000000008,0.0048571428571428455,-0.009000000000000008,0.009000000000000008,0.0,0.009000000000000008,17.047714270677698,77.77325860520912,64.04231310093851,30.97657707225845,0.9953,-0.03446197126494524,1.007,0.961,1.007,0.961
2015-08-27,0.962,0.962,0.10%,开放申购,开放赎回,,0.962,0.961,0.961,0.0010000000000000009,0.004642857142857139,0.0010000000000000009,-0.0010000000000000009,0.0010000000000000009,0.0,18.144188023548175,74.56069604006542,60.856025641329246,34.599747515023175,0.9932000000000001,-0.03141361256544514,1.007,0.961,1.007,0.961
2015-08-28,0.97,0.97,0.83%,开放申购,开放赎回,,0.97,0.962,0.962,0.008000000000000007,0.004928571428571425,0.008000000000000007,-0.008000000000000007,0.008000000000000007,0.0,29.08756186127895,64.43689070043985,37.796883992272626,34.9690293551111,0.9917499999999999,-0.021930930173934902,1.007,0.961,1.007,0.961
2015-08-31,0.961,0.961,-0.93%,开放申购,开放赎回,,0.97,0.961,0.97,0.009000000000000008,0.005428571428571426,-0.009000000000000008,0.009000000000000008,0.0,0.009000000000000008,24.251288363267726,67.26562586363129,47.00151645598275,36.30015893049586,0.98995,-0.029243901207131703,1.007,0.961,1.007,0.961
2015-09-01,0.954,0.954,-0.73%,开放申购,开放赎回,,0.961,0.954,0.961,0.007000000000000006,0.005499999999999997,-0.007000000000000006,0.007000000000000006,0.0,0.007000000000000006,22.000961789841888,71.31455957421596,52.84608290616924,38.06155518074107,0.9876999999999999,-0.034119671965171565,1.007,0.954,1.007,0.954
2015-09-02,0.949,0.949,-0.52%,开放申购,开放赎回,,0.954,0.949,0.954,0.0050000000000000044,0.005642857142857132,-0.0050000000000000044,0.0050000000000000044,0.0,0.0050000000000000044,19.726312329779073,71.03891549625607,56.533327129223,39.9614220264299,0.98525,-0.03679269221009897,1.007,0.949,1.007,0.949
2015-09-07,0.952,0.952,0.32%,开放申购,开放赎回,,0.952,0.949,0.949,0.0030000000000000027,0.005857142857142846,0.0030000000000000027,-0.0030000000000000027,0.0030000000000000027,0.0,21.562848396486743,63.00501885378422,49.00463001467581,40.863200672857,0.9829999999999999,-0.03153611393692769,1.007,0.949,1.007,0.949
2015-09-08,0.957,0.957,0.53%,开放申购,开放赎回,,0.957,0.952,0.952,0.0050000000000000044,0.00614285714285714,0.0050000000000000044,-0.0050000000000000044,0.0050000000000000044,0.0,25.35269252551447,55.34172885794618,37.16370452664073,40.50444047001086,0.9808,-0.024265905383360566,1.007,0.949,1.007,0.949
2015-09-09,0.961,0.961,0.42%,开放申购,开放赎回,,0.961,0.957,0.957,0.0040000000000000036,0.005857142857142862,0.0040000000000000036,-0.0040000000000000036,0.0040000000000000036,0.0,29.850912875721498,53.50206558003243,28.374694153089703,39.35745505854069,0.9785999999999999,-0.017984876353975016,1.007,0.949,1.007,0.949
2015-09-10,0.96,0.96,-0.10%,开放申购,开放赎回,,0.961,0.96,0.961,0.0010000000000000009,0.005785714285714291,-0.0010000000000000009,0.0010000000000000009,0.0,0.0010000000000000009,27.871972367985485,51.297823319802625,29.589379065974477,38.45467096364343,0.97625,-0.01664532650448142,1.005,0.949,1.007,0.949
2015-09-11,0.962,0.962,0.21%,开放申购,开放赎回,,0.962,0.96,0.96,0.0020000000000000018,0.005571428571428576,0.0020000000000000018,-0.0020000000000000018,0.0020000000000000018,0.0,29.480765796291447,49.15840889420481,25.022697879726675,37.238787981066025,0.9742999999999998,-0.012624448321871979,1.005,0.949,1.007,0.949
2015-09-14,0.956,0.956,-0.62%,开放申购,开放赎回,,0.962,0.956,0.962,0.006000000000000005,0.005428571428571434,-0.006000000000000005,0.006000000000000005,0.0,0.006000000000000005,27.934223216148812,55.06306880206472,32.68642256419951,36.834421382681285,0.9719000000000001,-0.016359707788867306,1.005,0.949,1.007,0.949
2015-09-15,0.951,0.951,-0.52%,开放申购,开放赎回,,0.956,0.951,0.956,0.0050000000000000044,0.005214285714285719,-0.0050000000000000044,0.0050000000000000044,0.0,0.0050000000000000044,26.861819296824258,60.27027849826971,38.34231017828947,36.96607021387094,0.96925,-0.01882899148826411,1.005,0.949,1.007,0.949
2015-09-16,0.956,0.956,0.53%,开放申购,开放赎回,,0.956,0.951,0.951,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,-0.0050000000000000044,0.0050000000000000044,0.0,33.48223526781811,58.078024032660544,26.862952281649825,36.097786819465966,0.9668000000000001,-0.01117087298303697,0.999,0.949,1.007,0.949
2015-09-17,0.959,0.959,0.31%,开放申购,开放赎回,,0.959,0.956,0.956,0.0030000000000000027,0.004571428571428575,0.0030000000000000027,-0.0030000000000000027,0.0030000000000000027,0.0,38.81478067758271,58.71854501516782,20.407142067815816,34.76859086594998,0.9649000000000001,-0.006114623277023657,0.999,0.949,1.007,0.949
2015-09-18,0.963,0.963,0.42%,开放申购,开放赎回,,0.963,0.959,0.959,0.0040000000000000036,0.00478571428571429,0.0040000000000000036,-0.0040000000000000036,0.0040000000000000036,0.0,40.57932608686433,51.865016476479795,12.208092000743429,32.882486568653015,0.9630999999999998,-0.00010383137784225727,0.994,0.949,1.007,0.949
2015-09-21,0.966,0.966,0.31%,开放申购,开放赎回,,0.966,0.963,0.963,0.0030000000000000027,0.004428571428571433,0.0030000000000000027,-0.0030000000000000027,0.0030000000000000027,0.0,45.64415654154813,51.84281769620036,6.358450657761841,30.69169201270388,0.9616999999999999,0.0044712488301966126,0.986,0.949,1.007,0.949
2015-09-22,0.966,0.966,0.00%,开放申购,开放赎回,,0.966,0.966,0.966,0.0,0.003785714285714289,0.0,0.0,0.0,0.0,49.4035445180866,56.112745772088104,6.35845065776184,28.704047608845855,0.9606999999999999,0.0055168106588946424,0.978,0.949,1.007,0.949
2015-09-23,0.967,0.967,0.10%,开放申购,开放赎回,,0.967,0.966,0.966,0.0010000000000000009,0.00335714285714286,0.0010000000000000009,-0.0010000000000000009,0.0010000000000000009,0.0,53.77893821879396,58.561598830256415,4.257288363660072,26.727402557955433,0.96015,0.007134301931989817,0.97,0.949,1.007,0.949
2015-09-24,0.967,0.967,0.00%,开放申购,开放赎回,,0.967,0.967,0.967,0.0,0.0030000000000000027,0.0,0.0,0.0,0.0,55.71106383920097,60.66555196171475,4.257288363660078,24.927545724794193,0.96,0.007291666666666674,0.97,0.949,1.007,0.949
2015-09-25,0.964,0.964,-0.31%,开放申购,开放赎回,,0.967,0.964,0.967,0.0030000000000000027,0.0030000000000000027,-0.0030000000000000027,0.0030000000000000027,0.0,0.0030000000000000027,51.58472347193006,63.57892875942166,10.414922638434993,23.775077751294003,0.96015,0.004009790136957788,0.97,0.949,1.007,0.949
2015-09-28,0.972,0.972,0.83%,开放申购,开放赎回,,0.972,0.964,0.964,0.008000000000000007,0.0032142857142857173,0.008000000000000007,-0.008000000000000007,0.008000000000000007,0.0,62.975021876789185,54.95674964889445,6.7990772326764235,22.437665837304806,0.9606499999999999,0.011814916983292649,0.972,0.949,1.007,0.949
2015-09-29,0.969,0.969,-0.31%,开放申购,开放赎回,,0.972,0.969,0.972,0.0030000000000000027,0.0031428571428571456,-0.0030000000000000027,0.0030000000000000027,0.0,0.0030000000000000027,59.660054550800176,59.09808208456868,0.47320754783898067,20.719883170513604,0.9606,0.008744534665833815,0.972,0.949,1.007,0.949
