净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配,high,low,previous_close,tr,atr,up_move,down_move,+dm,-dm,+di,-di,dx,adx,moving_average,deviation,recent_high,recent_low,historical_high,historical_low,long_ma,short_ma,trend,downtrend,uptrend,stop_loss,take_profit,trailing_stop
2018-08-06,0.5,0.5,-2.91%,开放申购,开放赎回,,0.515,0.5,0.515,0.015000000000000013,0.007499999999999983,-0.015000000000000013,0.015000000000000013,0.0,0.015000000000000013,25.31650523686546,82.42168605165328,53.00365648599236,22.81641747470906,0.5545,-0.09828674481514878,0.578,0.5,1.095,0.5,0.5738800000000001,0.5545,downtrend,1.0,0.0,stop_loss,,0.46
2018-08-17,0.503,0.503,-1.95%,开放申购,开放赎回,,0.513,0.503,0.513,0.010000000000000009,0.009285714285714295,-0.010000000000000009,0.010000000000000009,0.0,0.010000000000000009,30.103694814600484,58.81107351795214,32.286401057676244,23.105428015909784,0.53505,-0.059900943837024614,0.578,0.5,1.095,0.5,0.55606,0.53505,downtrend,1.0,0.0,stop_loss,,0.46276
2018-09-03,0.51,0.51,-0.39%,开放申购,开放赎回,,0.512,0.51,0.512,0.0020000000000000018,0.006642857142857149,-0.0020000000000000018,0.0020000000000000018,0.0,0.0020000000000000018,43.69649840873498,64.00890450473511,18.859226692944087,17.178366122438224,0.51915,-0.017624963883270714,0.535,0.503,1.095,0.5,0.5414,0.51915,downtrend,1.0,0.0,stop_loss,,0.4692
2018-10-11,0.443,0.443,-5.74%,开放申购,开放赎回,,0.47,0.443,0.47,0.02699999999999997,0.007642857142857146,-0.02699999999999997,0.02699999999999997,0.0,0.02699999999999997,23.01367727702815,74.07841899846814,52.594128338258464,25.075717834509014,0.48905000000000004,-0.09416215110929359,0.509,0.443,1.095,0.443,0.51002,0.48905000000000004,downtrend,1.0,0.0,stop_loss,,0.40756000000000003
2018-10-18,0.411,0.411,-1.91%,开放申购,开放赎回,,0.419,0.411,0.419,0.008000000000000007,0.008714285714285718,-0.008000000000000007,0.008000000000000007,0.0,0.008000000000000007,16.98133755778139,71.71227432278737,61.707867798533734,34.33282601916538,0.47065,-0.1267396154254755,0.5,0.411,1.095,0.411,0.49756,0.47065,downtrend,1.0,0.0,stop_loss,,0.37812
2018-10-26,0.421,0.421,-1.41%,开放申购,开放赎回,,0.427,0.421,0.427,0.006000000000000005,0.010000000000000005,-0.006000000000000005,0.006000000000000005,0.0,0.006000000000000005,29.059159726465744,57.7841808916885,33.07682657156778,31.975063822937404,0.45395,-0.07258508646326696,0.5,0.411,1.095,0.411,0.48764,0.45395,downtrend,1.0,0.0,stop_loss,,0.38732
2018-10-29,0.416,0.416,-1.19%,开放申购,开放赎回,,0.421,0.416,0.421,0.0050000000000000044,0.01028571428571429,-0.0050000000000000044,0.0050000000000000044,0.0,0.0050000000000000044,26.233963641948243,55.63849663832989,35.91504749670356,32.256491228206414,0.44975000000000004,-0.07504168982768217,0.499,0.411,1.095,0.411,0.4854,0.44975000000000004,downtrend,1.0,0.0,stop_loss,,0.38272
2018-10-30,0.415,0.415,-0.24%,开放申购,开放赎回,,0.416,0.415,0.416,0.0010000000000000009,0.010071428571428577,-0.0010000000000000009,0.0010000000000000009,0.0,0.0010000000000000009,24.878409289628728,53.47277898021963,36.49513213776591,32.559251293174945,0.4457,-0.06888041283374469,0.499,0.411,1.095,0.411,0.48304,0.4457,downtrend,1.0,0.0,stop_loss,,0.3818
2018-11-22,0.449,0.449,-0.44%,开放申购,开放赎回,,0.451,0.449,0.451,0.0020000000000000018,0.004999999999999997,-0.0020000000000000018,0.0020000000000000018,0.0,0.0020000000000000018,61.206670692772235,65.89403225979727,3.68791159933571,16.172551092710016,0.44414999999999993,0.010919734323989816,0.47,0.415,1.095,0.411,0.45962,0.44414999999999993,downtrend,1.0,0.0,stop_loss,,0.41308
2018-11-23,0.433,0.433,-3.56%,开放申购,开放赎回,,0.449,0.433,0.449,0.016000000000000014,0.006071428571428569,-0.016000000000000014,0.016000000000000014,0.0,0.016000000000000014,46.805101118002284,69.21308349278617,19.314198416357726,16.396954472970567,0.44475,-0.026419336706014578,0.47,0.415,1.095,0.411,0.45809999999999995,0.44475,downtrend,1.0,0.0,stop_loss,,0.39836
